id,latitude,longitude,velocidade_maxima,sentido_tipo,direcao_graus,tipo,fonte,atualizado_em
180,-27.091782,-51.364113,0,AMBOS,84.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
181,-27.091668,-51.364276,0,AMBOS,164.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
182,-27.090003,-51.365381,0,AMBOS,115.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
183,-26.077764,-53.071017,0,UNICO,156.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
184,-27.08961,-51.367797,0,AMBOS,102.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
185,-26.079754,-53.070073,0,UNICO,351.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
186,-27.092737,-51.364396,0,AMBOS,23.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
187,-27.094206,-51.367183,0,AMBOS,43.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
188,-27.131106,-51.457514,0,AMBOS,70.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
189,-27.132205,-51.464252,0,AMBOS,86.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
190,-27.066472,-51.65935,0,UNICO,287.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
191,-27.066452,-51.659725,0,UNICO,106.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
192,-27.065003,-51.650246,0,AMBOS,36.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
193,-27.176549,-53.239097,0,DESCONHECIDO,87.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
194,-27.06228,-51.644486,0,AMBOS,43.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
195,-27.025429,-51.559033,0,AMBOS,37.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
196,-27.00914,-51.557478,0,AMBOS,8.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
197,-27.002342,-51.556429,0,AMBOS,3.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
198,-26.141603,-53.030046,0,AMBOS,138.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
199,-27.000231,-51.556471,0,AMBOS,179.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
200,-26.145946,-53.025806,0,AMBOS,139.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
201,-26.995933,-51.555407,0,UNICO,16.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
202,-26.99591,-51.555454,0,UNICO,196.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
203,-26.988908,-51.553232,0,AMBOS,158.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
204,-26.981837,-51.553889,0,AMBOS,141.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
205,-26.998392,-51.552376,0,AMBOS,68.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
206,-27.157545,-48.592698,0,AMBOS,72.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
207,-26.997817,-51.550796,0,AMBOS,79.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
208,-27.159703,-48.570941,0,AMBOS,78.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
209,-26.997936,-51.549761,0,AMBOS,112.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
210,-26.997066,-51.54784,0,AMBOS,41.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
211,-26.972146,-51.465939,0,UNICO,298.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
212,-26.999934,-51.417289,0,AMBOS,99.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
